"YEAR","MONTH_NUM","FLT_DATE","FLT_ERT_1"
"2013",3,2013-03-19,24266
"2013",3,2013-03-20,25285
"2013",3,2013-03-21,25217
"2013",3,2013-03-22,26636
"2013",3,2013-03-23,20287
"2013",3,2013-03-24,22345
"2013",3,2013-03-25,24885
"2013",3,2013-03-26,24280
"2013",3,2013-03-27,25480
"2013",3,2013-03-28,25369
"2013",3,2013-03-29,22750
"2013",3,2013-03-30,19656
"2013",3,2013-03-31,20955
"2013",4,2013-04-01,23639
"2013",4,2013-04-02,26332
"2013",4,2013-04-03,26585
"2013",4,2013-04-04,27045
"2013",4,2013-04-05,27431
"2013",4,2013-04-06,21923
"2013",4,2013-04-07,24321
"2013",4,2013-04-08,27285
"2013",4,2013-04-09,26605
"2013",4,2013-04-10,27071
"2013",4,2013-04-11,27487
"2013",4,2013-04-12,27745
"2013",4,2013-04-13,21882
"2013",4,2013-04-14,24170
"2013",4,2013-04-15,27243
"2013",4,2013-04-16,26699
"2013",4,2013-04-17,27177
"2013",4,2013-04-18,27713
"2013",4,2013-04-19,28246
"2013",4,2013-04-20,21815
"2013",4,2013-04-21,24330
"2013",4,2013-04-22,25447
"2013",4,2013-04-23,26997
"2013",4,2013-04-24,27797
"2013",4,2013-04-25,28092
"2013",4,2013-04-26,28822
"2013",4,2013-04-27,22957
"2013",4,2013-04-28,25109
"2013",4,2013-04-29,27596
"2013",4,2013-04-30,27116
"2013",5,2013-05-01,25023
"2013",5,2013-05-02,27512
"2013",5,2013-05-03,28541
"2013",5,2013-05-04,23441
"2013",5,2013-05-05,25599
"2013",5,2013-05-06,27848
"2013",5,2013-05-07,27836
"2013",5,2013-05-08,27726
"2013",5,2013-05-09,25316
"2013",5,2013-05-10,26501
"2013",5,2013-05-11,23432
"2013",5,2013-05-12,26825
"2013",5,2013-05-13,29035
